epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,856.452,0.56577,0.72622,0.86727,0.92983,0.91876,0.97028,0.84337,0.5206,0.69237,0.82281,0.000848969,0.000848969,0.000848969
43,876.919,0.56531,0.71312,0.86258,0.91011,0.9562,0.97797,0.83342,0.61105,0.67553,0.83693,0.000834822,0.000834822,0.000834822
44,897.217,0.60873,0.76453,0.87983,0.91821,0.92098,0.9719,0.86692,0.48669,0.68992,0.82443,0.000820675,0.000820675,0.000820675
45,917.162,0.55662,0.6908,0.85702,0.89898,0.96699,0.97189,0.86272,0.50448,0.66695,0.81926,0.000806528,0.000806528,0.000806528
46,937.764,0.55761,0.70782,0.86912,0.95679,0.88563,0.97497,0.84332,0.5671,0.6677,0.82688,0.00079238,0.00079238,0.00079238
47,957.864,0.53197,0.69326,0.85892,0.90707,0.9195,0.97233,0.85156,0.54663,0.67724,0.82429,0.000778233,0.000778233,0.000778233
48,977.976,0.54573,0.681,0.86474,0.82974,0.7845,0.8601,0.73383,0.60262,0.83782,0.84504,0.000764086,0.000764086,0.000764086
49,998.172,0.57009,0.70015,0.85823,0.79736,0.6822,0.79236,0.62976,0.7522,1.05543,0.88155,0.000749939,0.000749939,0.000749939
50,1018.94,0.59426,0.72973,0.86885,0.79635,0.77014,0.85499,0.70255,0.67696,0.99437,0.84618,0.000735792,0.000735792,0.000735792
51,1039.22,0.54702,0.69866,0.85802,0.89029,0.86196,0.93577,0.82155,0.54425,0.75495,0.81818,0.000721645,0.000721645,0.000721645
52,1059.6,0.5268,0.67019,0.8571,0.90279,0.91583,0.95527,0.82996,0.56034,0.70198,0.82618,0.000707498,0.000707498,0.000707498
53,1079.98,0.54008,0.65513,0.85792,0.91604,0.89759,0.94924,0.81811,0.56544,0.73229,0.83091,0.000693351,0.000693351,0.000693351
54,1100.27,0.53607,0.65895,0.84975,0.90642,0.88268,0.94878,0.84195,0.50461,0.73227,0.82402,0.000679204,0.000679204,0.000679204
55,1120.45,0.53202,0.66886,0.85827,0.89049,0.91505,0.95987,0.85205,0.49181,0.69307,0.81917,0.000665057,0.000665057,0.000665057
56,1140.77,0.55409,0.65047,0.85299,0.91997,0.93824,0.97234,0.87338,0.49032,0.61141,0.81382,0.000650909,0.000650909,0.000650909
57,1161.46,0.49529,0.62593,0.84212,0.91725,0.93799,0.97481,0.86871,0.50082,0.60485,0.81412,0.000636762,0.000636762,0.000636762
58,1182.9,0.51354,0.64015,0.85137,0.92735,0.93534,0.97093,0.86244,0.50978,0.60979,0.81608,0.000622615,0.000622615,0.000622615
59,1203.16,0.51315,0.635,0.85747,0.90627,0.94139,0.96523,0.86817,0.46876,0.6202,0.81384,0.000608468,0.000608468,0.000608468
60,1223.12,0.52873,0.64727,0.85864,0.91751,0.93385,0.96924,0.88925,0.44083,0.58626,0.81034,0.000594321,0.000594321,0.000594321
61,1243.21,0.52823,0.64207,0.86411,0.92004,0.93196,0.97163,0.86833,0.50452,0.59336,0.81558,0.000580174,0.000580174,0.000580174
62,1263.22,0.57086,0.6635,0.8686,0.91903,0.92784,0.9728,0.86301,0.52035,0.60051,0.81724,0.000566027,0.000566027,0.000566027
63,1283.16,0.5283,0.62188,0.85265,0.9332,0.91453,0.96898,0.88273,0.45485,0.60883,0.81112,0.00055188,0.00055188,0.00055188
64,1303.5,0.50296,0.63942,0.84312,0.92552,0.88609,0.96083,0.87468,0.42705,0.63929,0.80841,0.000537733,0.000537733,0.000537733
65,1323.6,0.56717,0.67764,0.87246,0.89952,0.91135,0.96495,0.86179,0.48964,0.62297,0.81308,0.000523586,0.000523586,0.000523586
66,1343.46,0.49607,0.621,0.85024,0.93673,0.93887,0.97372,0.85438,0.549,0.59385,0.8191,0.000509438,0.000509438,0.000509438
67,1363.7,0.4813,0.6027,0.84908,0.93402,0.94549,0.98005,0.86569,0.53811,0.56772,0.81856,0.000495291,0.000495291,0.000495291
68,1383.86,0.52198,0.62617,0.85273,0.93273,0.90624,0.97905,0.9032,0.43517,0.55904,0.80966,0.000481144,0.000481144,0.000481144
69,1403.79,0.50878,0.59406,0.84756,0.93352,0.91381,0.98085,0.90577,0.43701,0.55236,0.8103,0.000466997,0.000466997,0.000466997
70,1423.77,0.51932,0.60398,0.85685,0.93575,0.93093,0.98369,0.88968,0.46916,0.55048,0.81122,0.00045285,0.00045285,0.00045285
71,1443.76,0.48123,0.58655,0.84484,0.96572,0.93255,0.98424,0.88469,0.48167,0.53397,0.81257,0.000438703,0.000438703,0.000438703
72,1463.84,0.48286,0.5968,0.84203,0.96012,0.95578,0.98483,0.9064,0.43658,0.51517,0.80964,0.000424556,0.000424556,0.000424556
73,1483.93,0.45766,0.54992,0.83739,0.95004,0.95602,0.98418,0.90132,0.44669,0.52305,0.80947,0.000410409,0.000410409,0.000410409
74,1510.68,0.48348,0.57807,0.84501,0.94462,0.95005,0.9841,0.88803,0.48676,0.54391,0.81277,0.000396262,0.000396262,0.000396262
75,1530.7,0.48844,0.57825,0.84379,0.9448,0.94899,0.9852,0.89272,0.48897,0.5418,0.81297,0.000382115,0.000382115,0.000382115
76,1550.97,0.49115,0.57844,0.84352,0.95401,0.96095,0.98597,0.90565,0.43803,0.50755,0.81109,0.000367967,0.000367967,0.000367967
77,1571.52,0.48934,0.5853,0.84442,0.96211,0.94702,0.98572,0.90782,0.44164,0.50118,0.81153,0.00035382,0.00035382,0.00035382
78,1591.66,0.54553,0.63204,0.84655,0.96169,0.93882,0.98615,0.89346,0.47705,0.51026,0.81421,0.000339673,0.000339673,0.000339673
79,1611.89,0.48009,0.5625,0.83905,0.95225,0.92151,0.98447,0.88202,0.49139,0.52433,0.81512,0.000325526,0.000325526,0.000325526
80,1633.09,0.4894,0.58367,0.84254,0.92052,0.94286,0.98148,0.87928,0.48941,0.52978,0.81569,0.000311379,0.000311379,0.000311379
81,1653.95,0.47474,0.5491,0.83603,0.92531,0.93409,0.98023,0.88674,0.46055,0.52347,0.8145,0.000297232,0.000297232,0.000297232
82,1674.37,0.47444,0.56464,0.84269,0.928,0.93358,0.98161,0.89866,0.42778,0.51664,0.81445,0.000283085,0.000283085,0.000283085
83,1695.51,0.49618,0.5707,0.84986,0.91639,0.9444,0.98131,0.90557,0.41337,0.5184,0.81211,0.000268938,0.000268938,0.000268938
84,1716.44,0.48873,0.57962,0.84974,0.951,0.91216,0.97777,0.89397,0.44651,0.54004,0.81189,0.000254791,0.000254791,0.000254791
85,1737.7,0.51656,0.60103,0.85988,0.95014,0.91428,0.97577,0.88161,0.48571,0.54197,0.81455,0.000240644,0.000240644,0.000240644
86,1758.83,0.44595,0.54581,0.83591,0.94491,0.92902,0.97729,0.87783,0.4896,0.53128,0.81466,0.000226497,0.000226497,0.000226497
87,1779.61,0.45316,0.53488,0.83217,0.94398,0.95798,0.97899,0.88614,0.45753,0.50594,0.81172,0.000212349,0.000212349,0.000212349
88,1800.56,0.46724,0.55148,0.83873,0.94645,0.95245,0.98081,0.90911,0.40103,0.48794,0.80584,0.000198202,0.000198202,0.000198202
89,1822.14,0.47305,0.56714,0.84415,0.94452,0.94736,0.97881,0.90146,0.40977,0.5007,0.80605,0.000184055,0.000184055,0.000184055
90,1843.12,0.44266,0.56963,0.83566,0.95588,0.93848,0.97703,0.88695,0.43652,0.51212,0.80791,0.000169908,0.000169908,0.000169908
91,1863.9,0.45747,0.63676,0.83549,0.95772,0.93747,0.97753,0.88344,0.46176,0.5161,0.81036,0.000155761,0.000155761,0.000155761
92,1884.02,0.49259,0.62699,0.8468,0.95337,0.93779,0.98183,0.89067,0.46097,0.51909,0.81219,0.000141614,0.000141614,0.000141614
93,1904.65,0.44543,0.55507,0.8385,0.93399,0.96199,0.98283,0.88846,0.44427,0.5263,0.81214,0.000127467,0.000127467,0.000127467
94,1925.53,0.44978,0.65075,0.84715,0.96366,0.93054,0.98189,0.89498,0.42666,0.54492,0.81109,0.00011332,0.00011332,0.00011332
95,1946.45,0.43996,0.58439,0.84346,0.92414,0.95761,0.98052,0.89623,0.41726,0.55642,0.80973,9.91726e-05,9.91726e-05,9.91726e-05
96,1967.61,0.48323,0.6299,0.8428,0.95042,0.93443,0.97825,0.89704,0.4112,0.54607,0.80766,8.50255e-05,8.50255e-05,8.50255e-05
97,1988.86,0.44221,0.59526,0.83231,0.95265,0.92973,0.97365,0.89242,0.40847,0.54028,0.80624,7.08784e-05,7.08784e-05,7.08784e-05
98,2009.91,0.4683,0.60194,0.86158,0.9528,0.92594,0.97201,0.89152,0.40738,0.53635,0.80535,5.67313e-05,5.67313e-05,5.67313e-05
99,2031.1,0.45977,0.59671,0.84475,0.92036,0.95429,0.97122,0.88872,0.40803,0.53295,0.80445,4.25842e-05,4.25842e-05,4.25842e-05
100,2051.98,0.45904,0.5934,0.85506,0.92206,0.9564,0.97298,0.89283,0.41131,0.52022,0.80377,2.84371e-05,2.84371e-05,2.84371e-05
