epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,839.487,0.55671,0.72651,0.86371,0.93331,0.89035,0.95267,0.84489,0.51925,0.68594,0.84415,0.000848969,0.000848969,0.000848969
43,859.425,0.5789,0.73593,0.86114,0.92263,0.90446,0.95041,0.82726,0.56171,0.70038,0.84737,0.000834822,0.000834822,0.000834822
44,879.402,0.54397,0.68682,0.85057,0.92612,0.88325,0.95172,0.82816,0.52187,0.69739,0.85247,0.000820675,0.000820675,0.000820675
45,899.391,0.51648,0.66934,0.85041,0.91591,0.85654,0.9552,0.82686,0.51758,0.7153,0.84175,0.000806528,0.000806528,0.000806528
46,919.297,0.53523,0.71036,0.86001,0.87653,0.87313,0.94824,0.81633,0.52933,0.72567,0.84324,0.00079238,0.00079238,0.00079238
47,939.181,0.5116,0.67399,0.86334,0.90349,0.87946,0.95659,0.83453,0.51942,0.67588,0.84073,0.000778233,0.000778233,0.000778233
48,959.045,0.50631,0.66562,0.84174,0.86238,0.95206,0.96226,0.84813,0.52752,0.65294,0.85368,0.000764086,0.000764086,0.000764086
49,978.972,0.5287,0.67364,0.852,0.90239,0.91954,0.9607,0.83923,0.5559,0.64864,0.85035,0.000749939,0.000749939,0.000749939
50,998.888,0.53238,0.67416,0.84724,0.938,0.89518,0.95532,0.84292,0.51833,0.65378,0.84547,0.000735792,0.000735792,0.000735792
51,1018.78,0.52993,0.67221,0.85111,0.86961,0.89473,0.93151,0.81611,0.5418,0.74159,0.85139,0.000721645,0.000721645,0.000721645
52,1038.86,0.56482,0.6762,0.86066,0.87437,0.84685,0.91214,0.76084,0.69006,0.78691,0.87862,0.000707498,0.000707498,0.000707498
53,1058.74,0.54682,0.65416,0.85356,0.86546,0.86446,0.91207,0.79171,0.5758,0.72646,0.86453,0.000693351,0.000693351,0.000693351
54,1078.57,0.55444,0.68021,0.86925,0.88665,0.86427,0.92172,0.80992,0.52275,0.70115,0.85342,0.000679204,0.000679204,0.000679204
55,1098.5,0.51061,0.65445,0.84964,0.91856,0.83963,0.93251,0.81053,0.59737,0.71608,0.85571,0.000665057,0.000665057,0.000665057
56,1118.51,0.54751,0.65372,0.84955,0.90605,0.87552,0.93163,0.80254,0.59282,0.69683,0.85641,0.000650909,0.000650909,0.000650909
57,1138.26,0.51477,0.63259,0.84719,0.89695,0.89872,0.93599,0.81858,0.53519,0.67784,0.84758,0.000636762,0.000636762,0.000636762
58,1158.09,0.47935,0.62106,0.85213,0.89051,0.91098,0.9439,0.83392,0.52383,0.66423,0.84519,0.000622615,0.000622615,0.000622615
59,1177.96,0.49712,0.62692,0.85055,0.88976,0.88123,0.93823,0.83138,0.49038,0.66844,0.84327,0.000608468,0.000608468,0.000608468
60,1198.38,0.51912,0.64646,0.84407,0.91689,0.90538,0.95123,0.83877,0.48748,0.62069,0.84497,0.000594321,0.000594321,0.000594321
61,1283.53,0.5243,0.62515,0.86258,0.95217,0.88194,0.95018,0.841,0.52179,0.61505,0.84381,0.000580174,0.000580174,0.000580174
62,1303.36,0.51097,0.62003,0.84436,0.94434,0.9195,0.95456,0.84977,0.51828,0.59414,0.83977,0.000566027,0.000566027,0.000566027
63,1323.3,0.51508,0.62068,0.8456,0.9336,0.91534,0.95926,0.86426,0.46587,0.58687,0.83651,0.00055188,0.00055188,0.00055188
64,1343.13,0.48425,0.59535,0.83796,0.95058,0.9195,0.96044,0.87111,0.48461,0.58124,0.8349,0.000537733,0.000537733,0.000537733
65,1362.98,0.52812,0.60957,0.86381,0.91376,0.94074,0.96295,0.84806,0.57098,0.59893,0.84294,0.000523586,0.000523586,0.000523586
66,1382.74,0.49798,0.60137,0.85232,0.93715,0.91668,0.96196,0.84251,0.58756,0.60894,0.84575,0.000509438,0.000509438,0.000509438
67,1402.6,0.47643,0.58628,0.84852,0.92277,0.93396,0.9634,0.85773,0.52663,0.60445,0.84232,0.000495291,0.000495291,0.000495291
68,1423.37,0.49778,0.58232,0.84228,0.95516,0.90324,0.96278,0.87583,0.44849,0.57933,0.83569,0.000481144,0.000481144,0.000481144
69,1443.34,0.47896,0.58646,0.84362,0.94792,0.90636,0.96292,0.86297,0.50194,0.58592,0.83768,0.000466997,0.000466997,0.000466997
70,1463.17,0.47423,0.57719,0.8387,0.91899,0.92465,0.96454,0.85047,0.53792,0.5835,0.84221,0.00045285,0.00045285,0.00045285
71,1483.14,0.47497,0.5643,0.8389,0.91175,0.93728,0.96189,0.86056,0.50528,0.56984,0.84258,0.000438703,0.000438703,0.000438703
72,1502.91,0.4539,0.56731,0.843,0.89908,0.96127,0.96217,0.8826,0.44263,0.55361,0.83813,0.000424556,0.000424556,0.000424556
73,1522.66,0.43212,0.53132,0.82828,0.91113,0.92945,0.96093,0.86429,0.485,0.56263,0.84001,0.000410409,0.000410409,0.000410409
74,1542.48,0.47753,0.56869,0.83934,0.90581,0.93458,0.96086,0.84643,0.56119,0.58917,0.84465,0.000396262,0.000396262,0.000396262
75,1562.3,0.45384,0.56157,0.83083,0.91897,0.92945,0.95803,0.84216,0.57231,0.59853,0.84619,0.000382115,0.000382115,0.000382115
76,1582.13,0.48016,0.56606,0.83906,0.92927,0.91469,0.95487,0.86501,0.46819,0.58525,0.83898,0.000367967,0.000367967,0.000367967
77,1601.97,0.4854,0.57262,0.84433,0.92963,0.90506,0.95904,0.87487,0.43174,0.57732,0.83543,0.00035382,0.00035382,0.00035382
78,1621.87,0.54592,0.61025,0.84583,0.93347,0.89993,0.95569,0.8601,0.44786,0.58849,0.83408,0.000339673,0.000339673,0.000339673
79,1641.72,0.49813,0.57643,0.84008,0.92533,0.90322,0.95272,0.85633,0.47318,0.59451,0.83512,0.000325526,0.000325526,0.000325526
80,1661.53,0.4609,0.55865,0.82783,0.92669,0.89976,0.9533,0.83656,0.53497,0.6101,0.83824,0.000311379,0.000311379,0.000311379
81,1681.44,0.46452,0.54189,0.83116,0.93679,0.90128,0.95589,0.84716,0.52334,0.59532,0.83676,0.000297232,0.000297232,0.000297232
82,1701.41,0.46509,0.55595,0.8263,0.93992,0.90282,0.95992,0.8604,0.47879,0.57739,0.83363,0.000283085,0.000283085,0.000283085
83,1721.3,0.46879,0.57237,0.84237,0.936,0.9025,0.96281,0.87927,0.43325,0.55593,0.831,0.000268938,0.000268938,0.000268938
84,1741.22,0.45443,0.53761,0.8363,0.96173,0.90687,0.96359,0.88418,0.43392,0.54855,0.83473,0.000254791,0.000254791,0.000254791
85,1761,0.51057,0.5727,0.8459,0.96817,0.89418,0.96323,0.87383,0.46221,0.55308,0.83743,0.000240644,0.000240644,0.000240644
86,1780.87,0.44517,0.55881,0.83146,0.97272,0.89418,0.96289,0.87307,0.47273,0.553,0.83718,0.000226497,0.000226497,0.000226497
87,1800.78,0.46353,0.555,0.83692,0.95966,0.90444,0.96577,0.86995,0.46631,0.54687,0.83555,0.000212349,0.000212349,0.000212349
88,1820.67,0.44724,0.54986,0.83386,0.96962,0.90776,0.96434,0.87501,0.42549,0.5389,0.83069,0.000198202,0.000198202,0.000198202
89,1840.51,0.47731,0.56818,0.83662,0.95035,0.90678,0.96365,0.87355,0.41324,0.53698,0.8285,0.000184055,0.000184055,0.000184055
90,1860.25,0.43188,0.53228,0.83781,0.95031,0.90148,0.96362,0.87343,0.4246,0.53641,0.82882,0.000169908,0.000169908,0.000169908
91,1880.02,0.46491,0.61902,0.84144,0.95497,0.90173,0.96384,0.86829,0.45743,0.54467,0.8323,0.000155761,0.000155761,0.000155761
92,1899.65,0.48163,0.62849,0.84708,0.91972,0.92465,0.96225,0.86492,0.49204,0.56526,0.84188,0.000141614,0.000141614,0.000141614
93,1919.22,0.46588,0.57963,0.83113,0.92914,0.91772,0.9631,0.86996,0.48577,0.5837,0.84393,0.000127467,0.000127467,0.000127467
94,1938.91,0.45037,0.60195,0.83989,0.93125,0.90947,0.96213,0.87123,0.47347,0.60274,0.8439,0.00011332,0.00011332,0.00011332
95,1958.47,0.40913,0.57665,0.82941,0.9288,0.90646,0.95902,0.86691,0.46223,0.61442,0.84134,9.91726e-05,9.91726e-05,9.91726e-05
96,1978.14,0.42402,0.59312,0.82637,0.90138,0.94468,0.95775,0.87038,0.44926,0.59537,0.83509,8.50255e-05,8.50255e-05,8.50255e-05
97,1997.84,0.41136,0.54726,0.81875,0.90071,0.94643,0.95765,0.86993,0.44468,0.57974,0.83171,7.08784e-05,7.08784e-05,7.08784e-05
98,2017.82,0.40654,0.53287,0.83365,0.89378,0.95871,0.95874,0.86727,0.44512,0.56909,0.83003,5.67313e-05,5.67313e-05,5.67313e-05
99,2329.36,0.42683,0.56869,0.83691,0.89042,0.96732,0.95901,0.86826,0.44717,0.56196,0.82941,4.25842e-05,4.25842e-05,4.25842e-05
100,2348.72,0.43499,0.5723,0.84559,0.89851,0.94934,0.96001,0.8676,0.45079,0.55792,0.82921,2.84371e-05,2.84371e-05,2.84371e-05
