epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0323,1.19744,3.74362,1.12718,0.01275,0.59009,0.26692,0.21752,0.68631,3.69489,0.8943,0.0001375,0.0001375,0.0001375
2,99.2445,0.97745,2.47468,0.99305,0.02162,0.85128,0.47035,0.38564,0.83124,3.18241,0.87679,0.000284654,0.000284654,0.000284654
3,148.507,0.98592,1.83383,0.99352,0.91267,0.09248,0.65005,0.55179,0.80012,2.8051,0.88626,0.000428838,0.000428838,0.000428838
4,197.625,0.86726,1.54502,0.96213,0.72075,0.58797,0.74814,0.61291,0.79513,2.14885,0.89882,0.000570051,0.000570051,0.000570051
5,249.872,0.86107,1.36987,0.96386,0.71821,0.66594,0.7647,0.63167,0.81185,1.99616,0.92368,0.000708295,0.000708295,0.000708295
6,299.653,0.84978,1.28151,0.97315,0.78951,0.7281,0.83073,0.67662,0.85646,1.84991,0.92854,0.000843569,0.000843569,0.000843569
7,347.205,0.85598,1.18977,0.94104,0.83886,0.74438,0.84824,0.68546,0.82255,1.50095,0.92314,0.000975872,0.000975872,0.000975872
8,397.576,0.82375,1.14805,0.94696,0.83421,0.77095,0.85852,0.71046,0.76022,1.53333,0.91351,0.00110521,0.00110521,0.00110521
9,446.268,0.73673,1.03744,0.92519,0.86394,0.78374,0.89038,0.72908,0.82887,1.44931,0.92919,0.001151,0.001151,0.001151
10,496.326,0.73481,1.04621,0.91866,0.80776,0.8241,0.89181,0.72985,0.78034,1.20527,0.91402,0.00113863,0.00113863,0.00113863
11,545.156,0.77327,0.98856,0.92351,0.88545,0.81948,0.90491,0.75464,0.68498,1.15582,0.88631,0.00112625,0.00112625,0.00112625
12,591.145,0.77562,0.9724,0.91216,0.89971,0.8637,0.91161,0.72155,0.88874,0.95471,0.93607,0.00111388,0.00111388,0.00111388
13,639.312,0.76671,0.91418,0.91314,0.90045,0.867,0.93989,0.77687,0.70107,0.8872,0.89132,0.0011015,0.0011015,0.0011015
14,686.759,0.75057,0.9538,0.92115,0.88151,0.85057,0.90625,0.73126,0.80344,0.98661,0.90805,0.00108913,0.00108913,0.00108913
15,732.96,0.71455,0.9101,0.90637,0.91911,0.90426,0.94967,0.81686,0.61616,0.78721,0.86815,0.00107675,0.00107675,0.00107675
16,779.824,0.71842,0.90023,0.90836,0.89302,0.87297,0.9286,0.7891,0.65738,0.8547,0.87583,0.00106437,0.00106437,0.00106437
17,826.718,0.73442,0.87611,0.9253,0.89743,0.84787,0.92538,0.76804,0.76821,0.88368,0.89428,0.001052,0.001052,0.001052
18,874.658,0.66822,0.84089,0.90648,0.89592,0.86434,0.94306,0.81691,0.58223,0.79681,0.85865,0.00103962,0.00103962,0.00103962
19,920.782,0.67258,0.82174,0.90759,0.84911,0.87468,0.92496,0.76138,0.65175,0.80742,0.87498,0.00102725,0.00102725,0.00102725
20,967.457,0.69148,0.82103,0.89996,0.91387,0.91881,0.95092,0.83487,0.54619,0.72129,0.85284,0.00101488,0.00101488,0.00101488
21,1013.93,0.68617,0.82168,0.89163,0.92175,0.88104,0.94554,0.79957,0.72306,0.78639,0.883,0.0010025,0.0010025,0.0010025
22,1060.43,0.64187,0.78185,0.89031,0.89493,0.90604,0.95297,0.82333,0.61833,0.7197,0.8611,0.000990125,0.000990125,0.000990125
23,1107.13,0.66048,0.77984,0.89457,0.90869,0.9177,0.95485,0.8444,0.53032,0.67235,0.84946,0.00097775,0.00097775,0.00097775
24,1153.73,0.5995,0.74894,0.88267,0.90357,0.94079,0.95773,0.85641,0.54102,0.6814,0.84837,0.000965375,0.000965375,0.000965375
25,1351.86,0.6162,0.74295,0.89829,0.91752,0.9304,0.96481,0.86308,0.52376,0.66878,0.841,0.000953,0.000953,0.000953
26,1399.65,0.61914,0.71842,0.89056,0.9329,0.91627,0.94897,0.8148,0.66688,0.71779,0.86616,0.000940625,0.000940625,0.000940625
27,1447.36,0.62119,0.74055,0.87559,0.89881,0.9435,0.95972,0.82278,0.61548,0.64913,0.85524,0.00092825,0.00092825,0.00092825
28,1494.38,0.59722,0.70589,0.88108,0.899,0.90383,0.95031,0.8459,0.51507,0.66439,0.85405,0.000915875,0.000915875,0.000915875
29,1541.27,0.61346,0.72605,0.88086,0.82825,0.78063,0.82902,0.71825,0.54965,0.88479,0.86791,0.0009035,0.0009035,0.0009035
30,1588.19,0.61676,0.76244,0.90341,0.94556,0.91167,0.95266,0.85657,0.50483,0.64388,0.83668,0.000891125,0.000891125,0.000891125
31,1634.34,0.58328,0.69652,0.87408,0.91018,0.92736,0.95477,0.85453,0.53404,0.64882,0.84203,0.00087875,0.00087875,0.00087875
32,1681,0.55719,0.71327,0.8845,0.95297,0.90994,0.96022,0.86273,0.52711,0.63123,0.84344,0.000866375,0.000866375,0.000866375
33,1727.23,0.55888,0.67574,0.87239,0.91061,0.94334,0.95861,0.85826,0.53621,0.64146,0.8502,0.000854,0.000854,0.000854
34,1773.76,0.54902,0.66618,0.85993,0.92153,0.92847,0.95984,0.84607,0.5513,0.62009,0.84444,0.000841625,0.000841625,0.000841625
35,1820.47,0.6094,0.78577,0.88487,0.9214,0.91771,0.96021,0.85835,0.5068,0.621,0.84011,0.00082925,0.00082925,0.00082925
36,1865.97,0.60351,0.71749,0.88141,0.94337,0.89647,0.95299,0.80902,0.70195,0.6693,0.87512,0.000816875,0.000816875,0.000816875
37,1912.66,0.69599,0.89045,0.92617,0.91534,0.9338,0.96066,0.86569,0.4942,0.59225,0.8377,0.0008045,0.0008045,0.0008045
38,1958.44,0.61876,0.69841,0.87516,0.93045,0.92409,0.96153,0.82242,0.62519,0.61311,0.84834,0.000792125,0.000792125,0.000792125
39,2005.85,0.7082,1.02036,0.93701,0.91544,0.91965,0.96209,0.86444,0.51175,0.6116,0.83721,0.00077975,0.00077975,0.00077975
40,2052.95,0.6691,0.71269,0.91667,0.90742,0.94166,0.95859,0.82264,0.67558,0.63951,0.86542,0.000767375,0.000767375,0.000767375
41,2100.16,0.60697,0.694,0.88087,0.92353,0.94962,0.96831,0.87327,0.51941,0.60203,0.83716,0.000755,0.000755,0.000755
42,2147.18,0.57359,0.68209,0.87994,0.9417,0.93309,0.96753,0.87367,0.523,0.58161,0.84482,0.000742625,0.000742625,0.000742625
43,2195.28,0.5743,0.65322,0.86518,0.92004,0.95541,0.97391,0.86186,0.55867,0.56201,0.84164,0.00073025,0.00073025,0.00073025
44,2242.1,0.58702,0.64447,0.86496,0.93511,0.93657,0.9707,0.85673,0.57706,0.57115,0.84712,0.000717875,0.000717875,0.000717875
45,2288.72,0.57534,0.63032,0.87929,0.90995,0.94784,0.96461,0.87696,0.50326,0.56257,0.83207,0.0007055,0.0007055,0.0007055
46,2334.8,0.58024,0.68001,0.88807,0.89944,0.92412,0.96168,0.86627,0.51121,0.57971,0.83584,0.000693125,0.000693125,0.000693125
47,2380.77,0.52909,0.60823,0.87104,0.94316,0.91479,0.96708,0.87364,0.50921,0.56714,0.83838,0.00068075,0.00068075,0.00068075
48,2427.62,0.5216,0.59441,0.85505,0.94553,0.93185,0.96724,0.87463,0.52733,0.5484,0.8364,0.000668375,0.000668375,0.000668375
49,2474.72,0.56072,0.64,0.87102,0.94127,0.90369,0.95652,0.8533,0.54218,0.57544,0.84411,0.000656,0.000656,0.000656
50,4973.07,0.5037,0.62185,0.8634,0.94871,0.89988,0.95992,0.86083,0.51194,0.55878,0.84546,0.000643625,0.000643625,0.000643625
51,5020.01,0.51806,0.59487,0.86048,0.92885,0.96254,0.97394,0.88014,0.4856,0.51525,0.83218,0.00063125,0.00063125,0.00063125
52,5066.37,0.53089,0.59515,0.84619,0.92824,0.94591,0.96735,0.88797,0.45278,0.52394,0.82582,0.000618875,0.000618875,0.000618875
53,5112.33,0.51458,0.67039,0.86257,0.92467,0.9381,0.96573,0.87719,0.48953,0.52827,0.83153,0.0006065,0.0006065,0.0006065
54,5158,0.52254,0.57886,0.85872,0.93029,0.92995,0.96496,0.87762,0.45605,0.53839,0.83052,0.000594125,0.000594125,0.000594125
55,5206.75,0.50732,0.56991,0.86571,0.92963,0.94979,0.96967,0.88571,0.48406,0.51733,0.82909,0.00058175,0.00058175,0.00058175
56,5253.88,0.53441,0.58449,0.86017,0.92935,0.91546,0.96034,0.86634,0.47345,0.54882,0.84,0.000569375,0.000569375,0.000569375
57,5300.01,0.49757,0.64427,0.85151,0.93381,0.91606,0.9543,0.84293,0.52158,0.55658,0.83738,0.000557,0.000557,0.000557
58,5349.08,0.49933,0.54692,0.85134,0.93273,0.93088,0.96451,0.88625,0.43887,0.51102,0.82559,0.000544625,0.000544625,0.000544625
59,5398.78,0.53602,0.59997,0.86451,0.9436,0.93475,0.97008,0.89411,0.45176,0.52061,0.8286,0.00053225,0.00053225,0.00053225
